date,bitcoin,bitcoin_buy,bitcoin_mining,bitcoin_price,blockchain,value,unique,trans_volume,revenue,trade_volume,market_cap,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,change,change_1,change_2,change_3,change_4,change_5,down_up,value_tomorrow,change_tomorrow,class_change_tomorrow,change_bitcoin,change_unique,change_revenue,change_trade_volume,change_market_cap,class_change
2012-01-01,5.423105363269343,0.0,0.0,0.0,0.0,5.2,7701.0,0.0,38755.6,426262.035271,41639000.0,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,0,0,0,0,0,0,0,5.4999,5.767307692307696,up2,0,0,0,0,0,up1
2012-01-02,5.631686338779705,0.0,0.0,0.0,0.0,5.4999,9669.0,0.0,41826.7395,594783.344525,44082248.49,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.767307692307696,0.0,0.0,0.0,0.0,0.0,1,5.29,-3.816433026055023,down2,3.8461538461538822,25.555122711336196,7.92437609016504,39.53467475630595,5.867692523835828,up2
2012-01-03,6.2574292653107815,0.0,0.0,0.0,0.0,5.29,9207.0,0.0,42875.45,557476.602318,42442728.0,5.4999,5.2,5.2,5.2,5.2,5.2,5.2,5.2,-3.816433026055023,5.767307692307696,0.0,0.0,0.0,0.0,0,5.6063,5.97920604914934,up2,11.111111111111086,-4.778156996587029,2.5072728893917144,-6.27232462886019,-3.7192306340088948,down2
2012-01-04,5.005943412248626,0.0,0.0,0.0,0.0,5.6063,9255.0,0.0,43246.9982,473018.59971700003,45023634.67,5.29,5.4999,5.2,5.2,5.2,5.2,5.2,5.2,5.97920604914934,-3.816433026055023,5.767307692307696,0.0,0.0,0.0,1,6.399,14.139450261313158,up4,-20.0,0.5213424568263321,0.8665756277776779,-15.150053338529673,6.080916075894081,up2
2012-01-05,5.631686338779705,0.0,0.0,0.0,0.0,6.399,11542.0,0.0,47064.645,1054656.81813,51436761.75,5.6063,5.29,5.4999,5.2,5.2,5.2,5.2,5.2,14.139450261313158,5.97920604914934,-3.816433026055023,5.767307692307696,0.0,0.0,1,7.22,12.830129707766844,up4,12.500000000000014,24.71096704484063,8.827541699761255,122.96307560865165,14.243912396244568,up4
2012-01-06,6.048848289800423,0.0,0.0,0.0,0.0,7.22,11043.0,0.0,61413.32,1888020.1158599998,58097535.0,6.399,5.6063,5.29,5.4999,5.2,5.2,5.2,5.2,12.830129707766844,14.139450261313158,5.97920604914934,-3.816433026055023,5.767307692307696,0.0,1,7.015560000000001,-2.8315789473684134,down2,7.407407407407405,-4.3233408421417465,30.48716292240175,79.0174854421011,12.94944126221165,up4
2012-01-07,5.005943412248626,0.0,0.0,0.0,0.0,7.015560000000001,9902.0,0.0,63518.88024,484924.266891,56515948.248,7.22,6.399,5.6063,5.29,5.4999,5.2,5.2,5.2,-2.8315789473684134,12.830129707766844,14.139450261313158,5.97920604914934,-3.816433026055023,5.767307692307696,0,7.2,2.6290132220378553,up1,-17.24137931034484,-10.332337227202757,3.428507431286903,-74.31572562085148,-2.7222957944773327,down2
2012-01-08,6.674591216331501,0.0,0.0,0.0,0.0,7.2,10516.0,0.0,57981.6,428239.435131,58059720.0,7.015560000000001,7.22,6.399,5.6063,5.29,5.4999,5.2,5.2,2.6290132220378553,-2.8315789473684134,12.830129707766844,14.139450261313158,5.97920604914934,-3.816433026055023,1,7.2,0.0,up1,33.333333333333314,6.200767521712791,-8.717534407215481,-11.68941948882535,2.731568344612583,up1
2012-01-09,5.840267314290062,0.0,0.0,0.0,0.0,7.2,10229.0,0.0,58003.2,935777.458691,58117680.0,7.2,7.015560000000001,7.22,6.399,5.6063,5.29,5.4999,5.2,0.0,2.6290132220378553,-2.8315789473684134,12.830129707766844,14.139450261313158,5.97920604914934,0,6.89,-4.305555555555557,down3,-12.500000000000014,-2.72917459109928,0.037253197566130325,118.51734845595018,0.09982824581310012,up1
2012-01-10,6.2574292653107815,0.0,0.0,0.0,0.0,6.89,11080.0,0.0,50324.56,848166.172425,55665688.0,7.2,7.2,7.015560000000001,7.22,6.399,5.6063,5.29,5.4999,-4.305555555555557,0.0,2.6290132220378553,-2.8315789473684134,12.830129707766844,14.139450261313158,0,7.138,3.5994194484760555,up2,7.142857142857153,8.319483820510314,-13.238304093567251,-9.362406141792931,-4.219012183555847,down3
2012-01-11,6.2574292653107815,0.0,0.0,0.0,0.0,7.138,12031.0,0.0,54284.49,841167.10546,57723578.4,6.89,7.2,7.2,7.015560000000001,7.22,6.399,5.6063,5.29,3.5994194484760555,-4.305555555555557,0.0,2.6290132220378553,-2.8315789473684134,12.830129707766844,1,6.997000000000001,-1.9753432333987035,down1,0.0,8.58303249097473,7.8687821612350035,-0.825199965826144,3.696874095942192,up2
2012-01-12,5.005943412248626,0.0,0.0,0.0,0.0,6.997000000000001,11184.0,0.0,58361.977,909030.2953540001,56641414.7,7.138,6.89,7.2,7.2,7.015560000000001,7.22,6.399,5.6063,-1.9753432333987035,3.5994194484760555,-4.305555555555557,0.0,2.6290132220378553,-2.8315789473684134,0,6.8583899897,-1.980992000857512,down1,-20.0,-7.040146288754059,7.511329663408475,8.067741766588512,-1.8747342593715501,down1
