date,bitcoin,blockchain,bitcoin price,bitcoin buy,bitcoin mining,isPartial
2012-01-01,5.423105363269344,0.0,0.0,0.0,0.0,False
2012-01-02,5.631686338779704,0.0,0.0,0.0,0.0,False
2012-01-03,6.2574292653107815,0.0,0.0,0.0,0.0,False
2012-01-04,5.005943412248626,0.0,0.0,0.0,0.0,False
2012-01-05,5.631686338779704,0.0,0.0,0.0,0.0,False
2012-01-06,6.048848289800422,0.0,0.0,0.0,0.0,False
2012-01-07,5.005943412248626,0.0,0.0,0.0,0.0,False
2012-01-08,6.674591216331501,0.0,0.0,0.0,0.0,False
2012-01-09,5.840267314290063,0.0,0.0,0.0,0.0,False
2012-01-10,6.2574292653107815,0.0,0.0,0.0,0.0,False
2012-01-11,6.2574292653107815,0.0,0.0,0.0,0.0,False
2012-01-12,5.005943412248626,0.0,0.0,0.0,0.0,False
2012-01-13,4.797362436738266,0.0,0.0,0.0,0.0,False
2012-01-14,5.423105363269344,0.0,0.0,0.0,0.0,False
2012-01-15,5.631686338779704,0.0,0.0,0.0,0.0,False
2012-01-16,20.85809755103594,0.0,0.0,0.0,0.0,False
2012-01-17,10.42904877551797,0.0,0.0,0.0,0.0,False
2012-01-18,7.926077069393657,0.0,0.0,0.0,0.0,False
2012-01-19,6.674591216331501,0.0,0.0,0.0,0.0,False
2012-01-20,5.423105363269344,0.0,0.0,0.0,0.0,False
2012-01-21,6.048848289800422,0.0,0.0,0.0,0.0,False
2012-01-22,6.4660102408211415,0.0,0.0,0.0,0.0,False
2012-01-23,5.423105363269344,0.0,0.0,0.0,0.0,False
2012-01-24,6.2574292653107815,0.0,0.0,0.0,0.0,False
2012-01-25,6.674591216331501,0.0,0.0,0.0,0.0,False
2012-01-26,5.005943412248626,0.0,0.0,0.0,0.0,False
2012-01-27,5.631686338779704,0.0,0.0,0.0,0.0,False
2012-01-28,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-01-29,3.9257919319271215,0.0,0.0,0.0,0.0,False
2012-01-30,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-01-31,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-02-01,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-02-02,3.9257919319271215,0.0,0.0,0.0,0.0,False
2012-02-03,4.558984179012141,0.0,0.0,0.0,0.0,False
2012-02-04,4.052430381344125,0.0,0.0,0.0,0.0,False
2012-02-05,5.192176426097161,0.0,0.0,0.0,0.0,False
2012-02-06,3.2925996848421017,0.0,0.0,0.0,0.0,False
2012-02-07,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-02-08,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-02-09,2.7860458871740863,0.0,0.0,0.0,0.0,False
2012-02-10,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-02-11,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-02-12,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-02-13,3.4192381342591056,0.0,0.0,0.0,0.0,False
2012-02-14,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-02-15,4.179068830761129,0.0,0.0,0.0,0.0,False
2012-02-16,4.179068830761129,0.0,0.0,0.0,0.0,False
2012-02-17,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-02-18,3.2925996848421017,0.0,0.0,0.0,0.0,False
2012-02-19,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-02-20,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-02-21,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-02-22,3.2925996848421017,0.0,0.0,0.0,0.0,False
2012-02-23,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-02-24,2.6594074377570824,0.0,0.0,0.0,0.0,False
2012-02-25,2.6594074377570824,0.0,0.0,0.0,0.0,False
2012-02-26,2.7860458871740863,0.0,0.0,0.0,0.0,False
2012-02-27,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-02-28,3.4192381342591056,0.0,0.0,0.0,0.0,False
2012-02-29,3.4192381342591056,0.0,0.0,0.0,0.0,False
2012-03-01,2.1528536400890665,0.0,0.0,0.0,0.0,False
2012-03-02,5.445453324931169,0.0,0.0,0.0,0.0,False
2012-03-03,4.432345729595137,0.0,0.0,0.0,0.0,False
2012-03-04,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-03-05,3.2925996848421017,0.0,0.0,0.0,0.0,False
2012-03-06,3.4192381342591056,0.0,0.0,0.0,0.0,False
2012-03-07,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-03-08,2.2794920895060704,0.0,0.0,0.0,0.0,False
2012-03-09,2.532768988340078,0.0,0.0,0.0,0.0,False
2012-03-10,2.1528536400890665,0.0,0.0,0.0,0.0,False
2012-03-11,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-03-12,2.7860458871740863,0.0,0.0,0.0,0.0,False
2012-03-13,3.4192381342591056,0.0,0.0,0.0,0.0,False
2012-03-14,2.4061305389230743,0.0,0.0,0.0,0.0,False
2012-03-15,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-03-16,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-03-17,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-03-18,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-03-19,2.7860458871740863,0.0,0.0,0.0,0.0,False
2012-03-20,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-03-21,2.532768988340078,0.0,0.0,0.0,0.0,False
2012-03-22,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-03-23,2.532768988340078,0.0,0.0,0.0,0.0,False
2012-03-24,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-03-25,2.7860458871740863,0.0,0.0,0.0,0.0,False
2012-03-26,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-03-27,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-03-28,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-03-29,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-03-30,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-03-31,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-04-01,2.6594074377570824,0.0,0.0,0.0,0.0,False
2012-04-02,4.305707280178133,0.0,0.0,0.0,0.0,False
2012-04-03,3.9257919319271215,0.0,0.0,0.0,0.0,False
2012-04-04,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-04-05,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-04-06,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-04-07,3.9257919319271215,0.0,0.0,0.0,0.0,False
2012-04-08,3.9257919319271215,0.0,0.0,0.0,0.0,False
2012-04-09,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-04-10,4.052430381344125,0.0,0.0,0.0,0.0,False
2012-04-11,4.052430381344125,0.0,0.0,0.0,0.0,False
2012-04-12,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-04-13,2.4061305389230743,0.0,0.0,0.0,0.0,False
2012-04-14,3.4192381342591056,0.0,0.0,0.0,0.0,False
2012-04-15,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-04-16,3.4192381342591056,0.0,0.0,0.0,0.0,False
2012-04-17,2.532768988340078,0.0,0.0,0.0,0.0,False
2012-04-18,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-04-19,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-04-20,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-04-21,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-04-22,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-04-23,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-04-24,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-04-25,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-04-26,5.065537976680156,0.0,0.0,0.0,0.0,False
2012-04-27,4.938899527263152,0.0,0.0,0.0,0.0,False
2012-04-28,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-04-29,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-04-30,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-05-01,3.2925996848421017,0.0,0.0,0.0,0.0,False
2012-05-02,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-05-03,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-05-04,3.039322786008094,0.0,0.0,0.0,0.0,False
2012-05-05,3.672515033093114,0.0,0.0,0.0,0.0,False
2012-05-06,6.4585609202672,0.0,0.0,0.0,0.0,False
2012-05-07,4.938899527263152,0.0,0.0,0.0,0.0,False
2012-05-08,2.532768988340078,0.0,0.0,0.0,0.0,False
2012-05-09,2.4061305389230743,0.0,0.0,0.0,0.0,False
2012-05-10,3.9257919319271215,0.0,0.0,0.0,0.0,False
2012-05-11,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-05-12,4.558984179012141,0.0,0.0,0.0,0.0,False
2012-05-13,4.052430381344125,0.0,0.0,0.0,0.0,False
2012-05-14,3.9257919319271215,0.0,0.0,0.0,0.0,False
2012-05-15,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-05-16,2.7860458871740863,0.0,0.0,0.0,0.0,False
2012-05-17,2.532768988340078,0.0,0.0,0.0,0.0,False
2012-05-18,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-05-19,2.4061305389230743,0.0,0.0,0.0,0.0,False
2012-05-20,2.4061305389230743,0.0,0.0,0.0,0.0,False
2012-05-21,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-05-22,4.305707280178133,0.0,0.0,0.0,0.0,False
2012-05-23,3.7991534825101176,0.0,0.0,0.0,0.0,False
2012-05-24,2.0262151906720627,0.0,0.0,0.0,0.0,False
2012-05-25,3.672515033093114,0.0,0.0,0.0,0.0,False
2012-05-26,3.165961235425098,0.0,0.0,0.0,0.0,False
2012-05-27,2.532768988340078,0.0,0.0,0.0,0.0,False
2012-05-28,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-05-29,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-05-30,2.7860458871740863,0.0,0.0,0.0,0.0,False
2012-05-31,2.91268433659109,0.0,0.0,0.0,0.0,False
2012-06-01,3.54587658367611,0.0,0.0,0.0,0.0,False
2012-06-02,2.4061305389230743,0.0,0.0,0.0,0.0,False
